city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Djibouti,11.5883,43.1450,Djibouti,DJ,Djibouti,primary,603900,603900
Arta,11.5236,42.8472,Djibouti,DJ,Arta,admin,75654,75654
Ali Sabieh,11.1500,42.7167,Djibouti,DJ,Ali Sabieh,admin,37939,37939
Dikhil,11.1167,42.3667,Djibouti,DJ,Dikhil,admin,35000,35000
Obock,11.9667,43.2833,Djibouti,DJ,Obock,admin,21200,21200
Yoboki,11.5167,42.1000,Djibouti,DJ,Dikhil,,18000,18000
Tadjourah,11.7833,42.8833,Djibouti,DJ,Tadjourah,admin,14820,14820
‘Ali ‘Addé,11.1306,42.8933,Djibouti,DJ,Ali Sabieh,,3700,3700
Holhol,11.3097,42.9292,Djibouti,DJ,Ali Sabieh,,3000,3000
Goubétto,11.4217,42.9992,Djibouti,DJ,Ali Sabieh,,1400,1400
Loyada,11.4667,43.2500,Djibouti,DJ,Arta,,1367,1367
Ḏânan,11.2167,42.9833,Djibouti,DJ,Ali Sabieh,,463,463
Ambouli,11.5900,43.1225,Djibouti,DJ,Djibouti,,,
Deda’-etu,12.3752,42.7112,Djibouti,DJ,Obock,,,
Goubéto,11.4167,42.9833,Djibouti,DJ,Ali Sabieh,,,
Ḏigri,11.2975,42.8533,Djibouti,DJ,Ali Sabieh,,,
Vasama,10.9891,42.8412,Djibouti,DJ,Ali Sabieh,,,
Ouê‘a,11.5031,42.8553,Djibouti,DJ,Arta,,,
